design,per,X,Median,Mean,Min,Max,X95CIlo,X95CIup,rBias,rRMSE
SD1,TD1,BVp,1.034655,1.033630816,0.615761,1.45324,1.02474055944784,1.04252107255216,0.033630816,0.10676039033606
SD1,TD1,BKa,0.987032,0.990702714,0.581649,1.51195,0.977688832830205,1.0037165951698,-0.00929728599999999,0.148614280275652
SD1,TD1,RUV,1.04209,1.04549868,0.891459,1.67599,1.04055347754717,1.05044388245283,0.04549868,0.0724348183497964
SD1,TD2,CL,1.00378,1.00527446241458,0.86074,1.32188,1.00119737521868,1.00935154961048,0.00527446241457858,0.0438533898618032
SD1,TD2,V,1.28173,1.29879997038724,0.674325,2.33681,1.27527137487131,1.32232856590318,0.298799970387244,0.39038679593913
SD1,TD2,Q,1.08887,1.17604917312073,0.318802,5.70546,1.13904338936644,1.21305495687502,0.176049173120729,0.432590311947795
SD1,TD2,Vp,0.856014,0.842201104783599,0.158711,1.22998,0.828339181536684,0.856063028030514,-0.157798895216401,0.216355286562596
SD1,TD2,Ka,1.22312,1.225814476082,0.637226,1.97862,1.20505986605302,1.24656908611099,0.225814476082005,0.316395920719483
SD1,TD2,BCL,0.995654,0.996134328018223,0.814953,1.37539,0.989360054534126,1.00290860150232,-0.00386567198177677,0.0724387523941373
SD1,TD2,BV,0.971328,0.984086209567198,0.265261,1.82258,0.963770444121463,1.00440197501293,-0.0159137904328018,0.217514191851636
SD1,TD2,BQ,1.7802,1.84304552164009,0.01,5.56162,1.77619457073637,1.90989647254381,0.843045521640091,1.10466426767175
SD1,TD2,BVp,1.1313,1.15152244646925,0.283583,2.91302,1.12961042234669,1.17343447059181,0.151522446469248,0.278754117541086
SD1,TD2,BKa,1.21876,1.19730968109339,0.236819,1.79684,1.17345172244769,1.2211676397391,0.197309681093394,0.322228303469432
SD1,TD2,RUV,1.33898,1.35309993394077,0.997861,1.89544,1.33844662628146,1.36775324160009,0.353099933940774,0.38621457379472
SD2,A1,CL,1.003475,1.003139544,0.905987,1.2422,1.00023856554987,1.00604052245013,0.003139544,0.033212060970256
SD2,A1,V,0.783058,0.79867962,0.36137,1.74977,0.778388039581376,0.818971200418624,-0.20132038,0.306619310609485
SD2,A1,Q,0.716298,0.72863742,0.216809,1.60193,0.708484776016047,0.748790063983953,-0.27136258,0.355518259867495
SD2,A1,Vp,1.117385,1.0961279,0.582451,1.27041,1.087298785545,1.104957014455,0.0961279000000001,0.13916389716489
SD2,A1,Ka,0.730011,0.741143708,0.281793,1.51451,0.721362519364881,0.760924896635119,-0.258856292,0.343271459843821
SD2,A1,BCL,0.9823625,0.98163643,0.790437,1.17839,0.976056989933351,0.987215870066649,-0.01836357,0.0661889930455057
SD2,A1,BV,1.287165,1.258786592,0.01,2.07677,1.23441809194526,1.28315509205474,0.258786592,0.379614753174868
SD2,A1,BQ,0.01,0.4258440462,0.01,3.94153,0.36114430330132,0.49054378909868,-0.574155953800002,0.93456826096498
SD2,A1,BVp,0.9362245,0.941450556,0.69856,1.4531,0.932124414387314,0.950776697612686,-0.0585494439999999,0.121351614793755
SD2,A1,BKa,0.8114665,0.820538128,0.01,1.44329,0.804792255943966,0.836284000056034,-0.179461872,0.253796450938101
SD2,A1,RUV,1.41124,1.44711446,1.12089,1.99102,1.43163099682484,1.46259792317516,0.44711446,0.480679639084286
SD2,A2,CL,1.00344,1.002295076,0.92491,1.09226,0.999594637178718,1.00499551482128,0.002295076,0.0308631782561032
SD2,A2,V,0.4769485,0.551138964,0.160034,1.85398,0.530524515579108,0.571753412420892,-0.448861036,0.506633337289263
SD2,A2,Q,0.395525,0.4672844956,0.0559279,2.53419,0.445930933353569,0.488638057846431,-0.5327155044,0.585675899204592
SD2,A2,Vp,1.15072,1.132896866,0.446357,1.47358,1.12504844248378,1.14074528951622,0.132896866,0.16019686867024
SD2,A2,Ka,0.413222,0.488973622,0.128858,1.57033,0.469446205628639,0.508501038371361,-0.511026378,0.557387548925157
SD2,A2,BCL,0.9688115,0.968226898,0.771144,1.18934,0.962546799932261,0.973906996067739,-0.031773102,0.072114591359738
SD2,A2,BV,1.388885,1.3617233,0.01,2.14783,1.33835671346284,1.38508988653716,0.3617233,0.449185954603084
SD2,A2,BQ,0.01,0.1983171184,0.01,3.64558,0.157158167424248,0.239476069375752,-0.801682881600005,0.928844073463999
SD2,A2,BVp,0.962163,0.981310502,0.707301,1.97149,0.969996082695108,0.992624921304892,-0.018689498,0.130301202451466
SD2,A2,BKa,0.673815,0.6893314892,0.01,1.3323,0.673207306359086,0.705455672040914,-0.3106685108,0.360953124074374
SD2,A2,RUV,1.869685,1.87175558,1.29252,2.59104,1.85261850313558,1.89089265686442,0.87175558,0.898626867218091
SD2,A3,CL,0.994808,0.994694526,0.915487,1.08913,0.991987724430589,0.997401327569411,-0.005305474,0.031303124459996
SD2,A3,V,0.2882165,0.329461244,0.149053,2.39255,0.313752268136371,0.345170219863629,-0.670538756,0.694029929244862
SD2,A3,Q,0.189863,0.2272360372,0.0676832,1.3976,0.213613192185832,0.240858882214168,-0.772763962799999,0.788207438484704
SD2,A3,Vp,1.083795,1.070790062,0.159077,1.31609,1.06156521648465,1.08001490751535,0.070790062,0.126749011695153
SD2,A3,Ka,0.231678,0.270660394,0.130131,1.73185,0.256867412104792,0.284453375895208,-0.729339606,0.74608912957064
SD2,A3,BCL,0.946768,0.94641612,0.736324,1.13652,0.940573871782253,0.952258368217747,-0.05358388,0.0854687807619835
SD2,A3,BV,1.34677,1.2839613838,0.01,2.1296,1.25227726397224,1.31564550362776,0.2839613838,0.459387733869146
SD2,A3,BQ,0.01,0.3696016212,0.01,3.32566,0.316686135464767,0.422517106935233,-0.630398378800003,0.872424451488868
